ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
2679,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/chunk-LHKS7QUN.js,200,OK,51,469,75002
2680,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/assets/public/favicon_js.ico,200,OK,50,469,75002
2681,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/assets/public/scripts.js,200,OK,51,469,75002
2682,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/chunk-24EZLZ4I.js,200,OK,51,469,75002
2683,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/assets/public/polyfills.js,200,OK,50,469,75002
2684,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/fileServer.js:43:13,200,OK,53,469,75002
2685,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/fileServer.js:59:18,200,OK,53,469,75002
2686,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/scripts.js,200,OK,52,469,75002
2687,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/polyfills.js,200,OK,52,469,75002
2688,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/main.js,200,OK,53,469,75002
2689,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/chunk-TWZW5B45.js,200,OK,52,469,75002
2690,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/chunk-T3PSKZ45.js,200,OK,41,469,75002
2691,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/chunk-4MIYPPGW.js,200,OK,39,469,75002
2692,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/fileServer.js:43:13,200,OK,33,469,75002
2693,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/scripts.js,200,OK,34,469,75002
2694,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/chunk-LHKS7QUN.js,200,OK,39,469,75002
2695,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/fileServer.js:59:18,200,OK,34,469,75002
2696,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/chunk-TWZW5B45.js,200,OK,33,469,75002
2697,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/main.js,200,OK,34,469,75002
2698,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/polyfills.js,200,OK,34,469,75002
2699,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/chunk-T3PSKZ45.js,200,OK,17,469,75002
2700,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/chunk-4MIYPPGW.js,200,OK,17,469,75002
2701,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/fileServer.js:43:13,200,OK,17,469,75002
2702,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/scripts.js,200,OK,17,469,75002
2703,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/chunk-TWZW5B45.js,200,OK,16,469,75002
2704,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/chunk-LHKS7QUN.js,200,OK,17,469,75002
2705,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/main.js,200,OK,17,469,75002
2706,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/fileServer.js:59:18,200,OK,17,469,75002
2707,Sat Mar 21 13:36:58 MSK 2026,Sat Mar 21 13:36:58 MSK 2026,GET,http://localhost:3000/juice-shop/build/routes/polyfills.js,200,OK,17,469,75002
